Set,Seq,Display,API actual,Mismatch,Aantal records (in scope),Notes
Tijdlijn_omschrijvingen,36,LA-018 - Vloerverwarming,LA18 - Vloerverwarming,Ja,0,
Tijdlijn_omschrijvingen,37,LA-019 - Vloerverwarming - Dichtzetten sleuf,LA19 - Vloerverwarming - Dichtzetten sleuf,Ja,0,
Tijdlijn_omschrijvingen,38,LA-020 - Voorinspectie uitvoeren,Voorinspectie,Ja,7,Volledig ander actual
Tijdlijn_omschrijvingen,39,LA-021 - Voorinspectie inplannen,LA021 - Voorinspectie inplannen,Ja,0,
Tijdlijn_omschrijvingen,40,LA-022 - Verwachte leverdatum,LA022 - Verwachte leverdatum,Ja,0,
Tijdlijn_omschrijvingen,41,LA-023 - Renoveren trap,LA-023 - Renoveren trap,,0,
Tijdlijn_omschrijvingen,,LEEG,,,5,
,,,,,,
Diensten_Planning,1,Vloer verwijderen,Optie 2,Ja,0,Bizarre legacy — actual is Zoho-template default
Diensten_Planning,2,Droogbouw,Droogbouw,,0,
Diensten_Planning,3,Ondergrond saneren,Ondergrond saneren,,0,
Diensten_Planning,4,Traprenovatie,Traprenovatie,,0,
Diensten_Planning,5,Vloer leggen,Vloer leggen,,0,
Diensten_Planning,6,Vloerverwarming,Vloerverwarming,,0,
Diensten_Planning,7,1e egalisatie,1e egalisatie,,0,
Diensten_Planning,8,2e egalisatie,2e egalisatie,,0,
Diensten_Planning,9,Opstookprotocol,Opstookprotocol,,0,
Diensten_Planning,10,Opstookprotocol nwe vloerverwarming,Opstookprotocol nwe vloerverwarming,,0,
Diensten_Planning,11,Annulering legopdracht,Annulering legopdracht,,0,
Diensten_Planning,12,Annulering order,Annulering,Ja,0,
Diensten_Planning,13,Preparatie,Preparatie,,0,
Diensten_Planning,14,Controlelijst,Controle lijst legdienst,Ja,0,
Diensten_Planning,15,Legdienst,Legdienst,,0,
Diensten_Planning,16,Sales controle,Sales controle,,0,
Diensten_Planning,17,2e Voorinspectie,2e Voorinspectie,,0,
Diensten_Planning,18,Leggen vloer,Leggen vloer,,0,
Diensten_Planning,19,Opstookprotocol aanbouw,Opstookprotocol aanbouw,,0,
Diensten_Planning,20,Aanbouw,Aanbouw,,0,
Diensten_Planning,21,Aanbouw vloerverwarming in bedrijf,Aanbouw vloerverwarming in bedrijf,,0,
Diensten_Planning,22,Storting basisvloer nieuwbouw,Storting basisvloer nieuwbouw,,0,
Diensten_Planning,23,Activatie vloerverwarming,Activatie vloerverwarming,,0,
Diensten_Planning,24,Verhuizen,Verhuizen,,0,
Diensten_Planning,25,Muren verwijderen,Muren verwijderen,,0,
Diensten_Planning,26,Sleuteloverdracht,Sleuteloverdracht,,0,
Diensten_Planning,27,Opleveren nieuwbouw,Opleveren nieuwbouw,,0,
Diensten_Planning,28,Dekvloer storten,Aanbouw dekvloer storten,Ja,0,
Diensten_Planning,29,Basisvloer beoordeelbaar,Basisvloer beoordeelbaar,,0,
Diensten_Planning,30,Voorinspectie,Voorinspectie,,0,
Diensten_Planning,,(scope-limiet),,,0/?,Token ziet 0 Planningen records; volledige counts vereisen breder scope
,,,,,,
NOTITIE,,,,,,
"Categorie_n (Hoofdcategorie): 14 actieve waardes (excl. -None-). 7 hebben een display↔actual mismatch. Drie waardes met 0 records én Zoho-default actual zijn opruim-kandidaten: Vloer / Vitrage / Legartikel. 2813 Products hebben geen Hoofdcategorie ingevuld.",,,,,,
"Vestigingen: 17 actieve waardes (excl. -None- en sentinel Alle). Token-scope ziet maar 23 Contacts — voor een echte ranking is breder scope nodig. Geen mismatches.",,,,,,
"Tijdlijn_omschrijvingen: 41 actieve waardes. 28 hebben display↔actual mismatch (display gebruikt DE-010 met streepje, actual gebruikt DE10 zonder). 4 waardes hebben totaal afwijkende actuals (KL-015 → Sleuteloverdracht, KL-016 → Verhuizing, DE-019 → Storten dekvloer, DE-023 → Vloer verwijderen, LA-020 → Voorinspectie). Veel LA-* codes zijn nog ongebruikt (0 records).",,,,,,
"Diensten_Planning: 30 actieve waardes. Vooral Vloer verwijderen heeft een schadelijke legacy actual (Optie 2). 4 mismatches in totaal. Geen records zichtbaar in scope — kan niet aangeven welke daadwerkelijk in gebruik zijn.",,,,,,
"Algemeen: display↔actual mismatches zijn niet via API te corrigeren — Zoho's PATCH op global picklists negeert actual_value-wijzigingen. Voor échte cleanup is de UI nodig: Setup → Customization → Modules and Fields → Global Set → Replace Values (atomair voor records).",,,,,,
